No,Tgl/Bulan,Jumlah Kasus Aktif
1,23/Aug,876
2,24/Aug,810
3,25/Aug,724
4,26/Aug,579
5,27/Aug,480
6,28/Aug,439
7,29/Aug,377
8,30/Aug,325
9,31/Aug,312
10,1/Sep,295
11,2/Sep,276
12,3/Sep,247
13,4/Sep,222
14,5/Sep,215
15,6/Sep,203
16,7/Sep,193
17,8/Sep,190
18,9/Sep,153
19,10/Sep,152
20,11/Sep,142
21,12/Sep,141
22,13/Sep,125
23,14/Sep,118
24,15/Sep,115
25,16/Sep,120
26,17/Sep,90
27,18/Sep,81
28,19/Sep,78
29,20/Sep,73
30,21/Sep,71
31,22/Sep,79
32,23/Sep,80
33,24/Sep,71
34,25/Sep,67
35,26/Sep,63
36,27/Sep,60
37,28/Sep,64
38,29/Sep,59
39,30/Sep,57
40,1/Oct,59
41,2/Oct,60
42,3/Oct,53
43,4/Oct,45
44,5/Oct,45
45,6/Oct,44
46,7/Oct,37
47,8/Oct,33
48,9/Oct,28
49,10/Oct,26
50,11/Oct,24
51,12/Oct,24
52,13/Oct,22
53,14/Oct,22
54,15/Oct,20
55,16/Oct,23
56,17/Oct,23
57,18/Oct,26
58,19/Oct,26
59,20/Oct,28
60,21/Oct,29
61,22/Oct,24
62,23/Oct,26
63,24/Oct,21
64,25/Oct,20
65,26/Oct,20
66,27/Oct,18
67,28/Oct,19
68,29/Oct,18
69,30/Oct,20
70,31/Oct,17
71,1/Nov,16
72,2/Nov,16
73,3/Nov,14
74,4/Nov,14
75,5/Nov,9
76,6/Nov,6
77,7/Nov,4
78,8/Nov,5
79,9/Nov,6
80,10/Nov,9
81,11/Nov,9
82,12/Nov,9
83,13/Nov,9
84,14/Nov,9
85,15/Nov,10
86,16/Nov,10
87,17/Nov,12
88,18/Nov,8
89,19/Nov,8
90,20/Nov,8
91,21/Nov,9
92,22/Nov,9
93,23/Nov,8
94,24/Nov,7
95,25/Nov,7
96,26/Nov,9
97,27/Nov,10
98,28/Nov,11
99,29/Nov,11
100,30/Nov,9
101,1/Dec,10
102,2/Dec,13
103,3/Dec,12
104,4/Dec,11
105,5/Dec,11
106,6/Dec,10
107,7/Dec,10
108,8/Dec,8
